Benchmark,avgEntriesPerColumn,avgEntriesPerColumnInMask,degreeDistribution,denseMask,dimension,negatedMask,structuralMask,concurrency,Mode,Cnt,Score,Error,Units
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,5,UNIFORM,false,500000,false,false,1,avgt,10,0.940,0.047,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,5,UNIFORM,false,500000,false,true,1,avgt,10,1.013,0.239,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,5,UNIFORM,false,500000,true,false,1,avgt,10,3.498,0.393,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,5,UNIFORM,false,500000,true,true,1,avgt,10,3.317,0.040,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,5,UNIFORM,true,500000,false,false,1,avgt,10,1.378,0.360,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,5,UNIFORM,true,500000,false,true,1,avgt,10,1.400,0.367,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,5,UNIFORM,true,500000,true,false,1,avgt,10,2.775,0.072,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,5,UNIFORM,true,500000,true,true,1,avgt,10,3.080,0.050,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,50,UNIFORM,false,500000,false,false,1,avgt,10,1.076,0.056,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,50,UNIFORM,false,500000,false,true,1,avgt,10,1.016,0.124,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,50,UNIFORM,false,500000,true,false,1,avgt,10,2.915,0.056,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,50,UNIFORM,false,500000,true,true,1,avgt,10,2.949,0.046,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,50,UNIFORM,true,500000,false,false,1,avgt,10,1.382,0.264,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,50,UNIFORM,true,500000,false,true,1,avgt,10,1.277,0.257,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,50,UNIFORM,true,500000,true,false,1,avgt,10,3.500,0.064,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskBenchmark.reduceColWiseWithMask,4,50,UNIFORM,true,500000,true,true,1,avgt,10,3.020,0.342,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,5,UNIFORM,false,500000,false,false,1,avgt,10,3.247,0.070,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,5,UNIFORM,false,500000,false,true,1,avgt,10,3.299,0.019,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,5,UNIFORM,false,500000,true,false,1,avgt,10,5.441,0.024,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,5,UNIFORM,false,500000,true,true,1,avgt,10,5.417,0.100,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,50,UNIFORM,false,500000,false,false,1,avgt,10,8.191,0.046,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,50,UNIFORM,false,500000,false,true,1,avgt,10,8.223,0.077,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,50,UNIFORM,false,500000,true,false,1,avgt,10,8.450,0.021,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,50,UNIFORM,false,500000,true,true,1,avgt,10,8.393,0.043,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,5,UNIFORM,false,500000,false,false,8,avgt,10,15.873,3.002,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,5,UNIFORM,false,500000,false,true,8,avgt,10,14.583,1.118,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,5,UNIFORM,false,500000,true,false,8,avgt,10,17.820,2.575,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,5,UNIFORM,false,500000,true,true,8,avgt,10,17.924,2.750,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,50,UNIFORM,false,500000,false,false,8,avgt,10,16.895,3.109,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,50,UNIFORM,false,500000,false,true,8,avgt,10,16.350,2.960,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,50,UNIFORM,false,500000,true,false,8,avgt,10,18.235,4.809,ms/op
ejmlOps.mask.ReduceColumnWiseWithMaskNativeBenchmark.reduceColWiseWithMaskNative,4,50,UNIFORM,false,500000,true,true,8,avgt,10,19.929,6.522,ms/op
